model,spec,task,id,er,exact,token_index,region,cat,text,sal,sal_norm,attn,attn_norm
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,36,other,punct, </,0.000856,0.0,9.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,37,other,other_word,answer,0.002331,0.0,4.3e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,38,other,punct,>,0.001205,0.0,2.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,39,other,other_word, tags,0.000851,0.0,0.000296,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,40,other,punct,.,0.003371,0.0,3.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,41,other,other_word, Please,0.007081,0.0,8e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,42,other,other_word, strictly,0.001195,0.0,5e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,43,other,other_word, follow,0.002367,0.0,4e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,44,other,other_word, the,0.00231,0.0,5.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,45,other,other_word, format,0.005166,0.0,1.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,46,other,punct,".
",0.024381,0.0,4.8e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,47,other,other_word,Now,0.013875,0.0,2.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,48,other,other_word, predict,0.012027,0.0,3.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,49,other,other_word, the,0.005674,0.0,2.6e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,50,other,punct, SM,0.009533,0.0,0.000587,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,51,other,other_word,ILES,0.001799,0.0,0.001053,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,52,other,other_word, representation,0.011554,0.0,9.9e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,53,other,other_word, for,0.004397,0.0,3e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,54,other,other_word, the,0.003665,0.0,0.000142,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,55,other,other_word, following,0.005896,0.0,2.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,56,other,other_word, molecular,0.005556,0.0,0.000137,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,57,other,other_word, design,0.067643,0.0,0.000126,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,58,other,other_word, requirement,0.009071,0.0,0.000141,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,59,other,punct,":
",0.006565,0.0,4.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,60,other,other_word,Description,0.007579,0.0,0.000125,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,61,other,punct,:,0.008364,0.0,0.000965,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,62,other,other_word, The,0.008957,0.0,3.9e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,63,input,other_word, molecule,0.012048,0.0356,0.000156,0.0051
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,64,input,punct, is,0.020181,0.0596,2.1e-05,0.0007
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,65,input,punct, a,0.034279,0.1012,4.1e-05,0.0013
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,66,input,space, ,0.004275,0.0126,0.000145,0.0047
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,67,input,position_digit,1,0.006936,0.0205,0.000463,0.015
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,68,input,punct,-(,0.002492,0.0074,0.00132,0.0427
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,69,input,other_word,alk,0.077045,0.2274,0.000163,0.0053
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,70,input,punct,-,0.111327,0.3285,0.000607,0.0196
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,71,input,position_digit,1,0.073426,0.2167,0.001274,0.0413
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,72,input,punct,-en,0.034034,0.1004,0.001755,0.0568
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,73,input,punct,yl,0.042106,0.1243,0.001144,0.0371
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,74,input,punct,)-,0.012806,0.0378,0.000801,0.0259
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,75,input,punct,sn,0.00517,0.0153,0.008423,0.2727
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,76,input,punct,-g,0.015129,0.0446,0.002319,0.0751
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,77,input,punct,ly,0.012054,0.0356,0.006317,0.2045
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,78,input,punct,c,0.017678,0.0522,0.00148,0.0479
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,79,input,other_word,ero,0.051268,0.1513,0.030884,1.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,80,input,punct,-,0.005429,0.016,0.000626,0.0203
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,81,input,position_digit,3,0.018247,0.0539,0.00412,0.1334
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,82,input,punct,-ph,0.029097,0.0859,0.005951,0.1927
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,83,input,FG_word,osphate,0.051377,0.1516,0.022705,0.7352
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,84,input,punct, in,0.049696,0.1467,0.001221,0.0395
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,85,input,other_word, which,0.046009,0.1358,0.000395,0.0128
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,86,input,other_word, the,0.023671,0.0699,0.000414,0.0134
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,87,input,punct, al,0.007036,0.0208,0.000129,0.0042
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,88,input,other_word,ken,0.053808,0.1588,0.003494,0.1131
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,89,input,punct,yl,0.012003,0.0354,0.002533,0.082
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,90,input,other_word, group,0.002122,0.0063,0.000265,0.0086
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,91,input,punct, is,0.023107,0.0682,7e-05,0.0023
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,92,input,other_word, specified,0.007684,0.0227,0.000235,0.0076
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,93,input,punct, as,0.06792,0.2004,0.000122,0.0039
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,94,input,space, ,0.056175,0.1658,0.000277,0.009
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,95,input,position_digit,1,0.010787,0.0318,0.000874,0.0283
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,96,input,punct,Z,0.076362,0.2254,0.008606,0.2787
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,97,input,punct,-o,0.017784,0.0525,0.000607,0.0196
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,98,input,punct,ct,0.089476,0.2641,0.001579,0.0511
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,99,input,punct,ad,0.089791,0.265,0.00473,0.1532
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,100,input,punct,ec,0.338845,1.0,0.005066,0.164
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,101,input,punct,en,0.0203,0.0599,0.003616,0.1171
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,102,input,punct,yl,0.039736,0.1173,0.003082,0.0998
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,103,input,punct,.,0.048866,0.1442,0.000305,0.0099
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,104,input,punct, It,0.009712,0.0287,0.00174,0.0563
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,105,input,punct, is,0.006451,0.019,0.000154,0.005
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,106,input,punct, a,0.033926,0.1001,0.00034,0.011
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,107,input,other_word, conjug,0.017399,0.0513,0.000401,0.013
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,108,input,other_word,ate,0.022437,0.0662,0.000418,0.0135
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,109,input,other_word, acid,0.00023,0.0007,0.005432,0.1759
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,110,input,punct, of,0.013789,0.0407,0.000259,0.0084
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,111,input,punct, a,0.019237,0.0568,0.000437,0.0141
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,112,input,space, ,0.026824,0.0792,0.000557,0.018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,113,input,position_digit,1,0.057959,0.171,0.002563,0.083
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,114,input,punct,-(,0.022551,0.0666,0.0009,0.0292
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,115,input,position_digit,1,0.026571,0.0784,0.000406,0.0132
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,116,input,punct,Z,0.126169,0.3724,0.00647,0.2095
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,117,input,punct,-o,0.016966,0.0501,0.000246,0.008
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,118,input,punct,ct,0.017469,0.0516,0.000406,0.0132
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,119,input,punct,ad,0.020827,0.0615,0.000805,0.0261
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,120,input,punct,ec,0.090271,0.2664,0.00116,0.0375
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,121,input,punct,en,0.004077,0.012,0.002243,0.0726
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,122,input,punct,yl,0.032625,0.0963,0.001808,0.0585
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,123,input,punct,)-,0.007406,0.0219,0.000671,0.0217
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,124,input,punct,sn,0.021859,0.0645,0.003433,0.1112
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,125,input,punct,-g,0.003405,0.01,0.000553,0.0179
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,126,input,punct,ly,0.030361,0.0896,0.002914,0.0944
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,127,input,punct,c,0.00988,0.0292,0.000843,0.0273
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,128,input,other_word,ero,0.008909,0.0263,0.004486,0.1453
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,129,input,punct,-,0.012487,0.0369,0.000523,0.0169
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,130,input,position_digit,3,0.008513,0.0251,0.001816,0.0588
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,131,input,punct,-ph,0.011475,0.0339,0.00325,0.1052
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,132,input,FG_word,osphate,0.03262,0.0963,0.005768,0.1868
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,133,input,punct,(,0.001557,0.0046,0.000481,0.0156
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,134,input,position_digit,2,0.004803,0.0142,0.000376,0.0122
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,135,input,punct,-,0.002356,0.007,0.000319,0.0103
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,136,other,punct,").
",0.003051,0.0,0.000576,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,137,other,punct,<th,0.000802,0.0,0.000185,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,138,other,other_word,ink,0.002263,0.0,0.000209,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,139,other,punct,">
",0.001047,0.0,7.4e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,140,trace,position_digit,1,0.001012,0.003,0.000208,0.0067
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,141,trace,punct,.,0.002341,0.0069,4.9e-05,0.0016
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,142,trace,punct, **,0.001822,0.0054,3.3e-05,0.0011
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,143,trace,other_word,Ident,0.00115,0.0034,0.000523,0.0169
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,144,trace,other_word,ify,0.00025,0.0007,1.7e-05,0.0006
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,145,trace,other_word, the,0.000157,0.0005,0.000118,0.0038
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,146,trace,other_word, core,0.000789,0.0023,3.7e-05,0.0012
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,147,trace,other_word, structure,0.001759,0.0052,4.2e-05,0.0014
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,148,trace,punct,**:,0.000382,0.0011,4.9e-05,0.0016
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,149,trace,other_word, The,0.000132,0.0004,2.9e-05,0.0009
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,150,trace,other_word, molecule,0.001192,0.0035,0.0001,0.0032
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,151,trace,punct, is,0.000168,0.0005,1.5e-05,0.0005
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,152,trace,other_word, described,0.001321,0.0039,5.6e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,153,trace,punct, as,0.000555,0.0016,3.1e-05,0.001
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,154,trace,punct, a,0.000877,0.0026,2.8e-05,0.0009
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,155,trace,space, ,0.000284,0.0008,3.5e-05,0.0011
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,156,trace,position_digit,1,0.001952,0.0058,0.000107,0.0035
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,157,trace,punct,-(,0.001083,0.0032,5.5e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,158,trace,other_word,alk,0.000887,0.0026,7.2e-05,0.0023
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,159,trace,punct,-,0.002668,0.0079,1.9e-05,0.0006
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,160,trace,position_digit,1,0.001568,0.0046,9.8e-05,0.0032
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,161,trace,punct,-en,0.000834,0.0025,0.000124,0.004
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,162,trace,punct,yl,0.000545,0.0016,8.2e-05,0.0026
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,163,trace,punct,)-,0.000603,0.0018,6.6e-05,0.0021
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,164,trace,punct,sn,0.000841,0.0025,0.00023,0.0074
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,165,trace,punct,-g,0.000871,0.0026,3.4e-05,0.0011
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,166,trace,punct,ly,0.000149,0.0004,5.7e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,167,trace,punct,c,0.001713,0.0051,0.000168,0.0054
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,168,trace,other_word,ero,0.001979,0.0058,0.000141,0.0046
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,169,trace,punct,-,0.001148,0.0034,7.1e-05,0.0023
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,170,trace,position_digit,3,0.000211,0.0006,0.000166,0.0054
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,171,trace,punct,-ph,0.0003,0.0009,8.3e-05,0.0027
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,172,trace,FG_word,osphate,0.002812,0.0083,0.000256,0.0083
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,173,trace,punct,.,0.0006,0.0018,5.5e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,174,trace,other_word, This,0.000981,0.0029,9e-06,0.0003
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,175,trace,other_word, indicates,0.000431,0.0013,2.6e-05,0.0009
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,176,trace,other_word, that,0.001294,0.0038,1.7e-05,0.0005
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,177,trace,other_word, the,0.000137,0.0004,4e-06,0.0001
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,178,trace,other_word, core,0.00023,0.0007,1.5e-05,0.0005
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,179,trace,other_word, structure,0.000764,0.0023,1.3e-05,0.0004
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,180,trace,punct, is,0.000718,0.0021,2.3e-05,0.0007
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,181,trace,other_word, based,0.000497,0.0015,1.8e-05,0.0006
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,182,trace,punct, on,0.001179,0.0035,3.4e-05,0.0011
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,183,trace,other_word, gly,0.000275,0.0008,6.7e-05,0.0022
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,184,trace,other_word,cer,0.000498,0.0015,0.003723,0.1206
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,185,trace,punct,ol,0.002688,0.0079,0.000225,0.0073
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,186,trace,punct,",",0.006087,0.018,2.4e-05,0.0008
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,187,trace,other_word, which,0.001091,0.0032,2.4e-05,0.0008
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,188,trace,punct, is,0.000464,0.0014,1.9e-05,0.0006
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,189,trace,punct, a,0.001446,0.0043,4e-05,0.0013
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,190,trace,other_word, three,0.002033,0.006,0.000118,0.0038
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,191,trace,other_word,-car,0.000326,0.001,5.3e-05,0.0017
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,192,trace,other_word,bon,0.00024,0.0007,0.000267,0.0086
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,193,trace,other_word, backbone,0.002166,0.0064,9.2e-05,0.003
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,194,trace,other_word, with,0.000398,0.0012,5.6e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,195,trace,punct, a,6e-05,0.0002,8.9e-05,0.0029
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,196,trace,other_word, hydro,0.000319,0.0009,7.7e-05,0.0025
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,197,trace,FG_word,x,0.000412,0.0012,0.000319,0.0103
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,198,trace,FG_word,yl,5e-06,0.0,6.7e-05,0.0022
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,199,trace,other_word, group,0.00096,0.0028,4.2e-05,0.0014
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,200,trace,other_word, attached,0.00024,0.0007,6.6e-05,0.0021
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,201,trace,punct, to,0.000704,0.0021,5.2e-05,0.0017
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,202,trace,other_word, each,0.000117,0.0003,0.000126,0.0041
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,203,trace,other_word, carbon,0.002131,0.0063,0.000393,0.0127
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,204,trace,punct,.,0.001984,0.0059,9.4e-05,0.0031
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,205,trace,other_word, The,0.001664,0.0049,5.4e-05,0.0018
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,206,trace,punct," """,0.000604,0.0018,0.000102,0.0033
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,207,trace,punct,sn,0.002099,0.0062,0.00028,0.0091
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,208,trace,punct,"""",0.004178,0.0123,7.8e-05,0.0025
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,209,trace,other_word, notation,0.001796,0.0053,4.6e-05,0.0015
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,210,trace,other_word, suggests,0.000377,0.0011,5.3e-05,0.0017
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,211,trace,punct, a,0.000161,0.0005,3.2e-05,0.001
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,212,trace,other_word, specific,0.000205,0.0006,2.3e-05,0.0007
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,213,trace,other_word, stereo,0.000319,0.0009,0.000296,0.0096
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,214,trace,other_word,chemistry,0.000486,0.0014,4.6e-05,0.0015
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,215,trace,punct, at,0.000177,0.0005,2.2e-05,0.0007
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,216,trace,other_word, the,0.000803,0.0024,6.3e-05,0.002
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,217,trace,other_word, gly,4.4e-05,0.0001,4.6e-05,0.0015
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,218,trace,other_word,cer,0.000337,0.001,0.000155,0.005
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,219,trace,punct,ol,0.001149,0.0034,9.6e-05,0.0031
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,220,trace,other_word, carb,0.00208,0.0061,0.000117,0.0038
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,221,trace,other_word,ons,0.000943,0.0028,0.000109,0.0035
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,222,trace,punct,".

",0.005976,0.0176,0.000133,0.0043
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,223,trace,position_digit,2,0.001276,0.0038,5.1e-05,0.0017
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,224,trace,punct,.,0.000483,0.0014,0.000366,0.0119
